x	y
1840.0	675.0
1880.0	205.0
970.0	475.0
560.0	800.0
785.0	750.0
145.0	1180.0
1955.0	610.0
1595.0	75.0
755.0	200.0
675.0	940.0
160.0	470.0
500.0	695.0
1115.0	10.0
1290.0	935.0
150.0	1005.0
1445.0	570.0
910.0	80.0
200.0	945.0
930.0	1085.0
705.0	775.0
1400.0	545.0
785.0	890.0
240.0	1120.0
1550.0	300.0
1980.0	515.0
215.0	140.0
755.0	95.0
465.0	45.0
95.0	795.0
890.0	25.0
1160.0	60.0
1640.0	960.0
1200.0	50.0
410.0	540.0
340.0	30.0
865.0	210.0
80.0	195.0
90.0	1045.0
1870.0	1115.0
1915.0	340.0
1070.0	640.0
880.0	885.0
375.0	895.0
185.0	270.0
1425.0	430.0
1765.0	395.0
1990.0	830.0
1955.0	20.0
1735.0	400.0
840.0	1175.0
1400.0	690.0
175.0	635.0
