x	y
70	1820
360	780
290	390
1950	1190
1480	1450
500	630
850	1220
750	1900
1980	1740
10	340
440	1720
1340	520
1040	820
1370	1940
1860	1140
850	140
1710	1980
950	450
10	1880
740	1040
150	420
270	200
1060	830
580	970
730	1950
930	1790
1400	1310
1190	210
480	1930
230	1480
650	590
550	1200
790	150
1540	1770
1210	220
1530	430
780	330
350	2000
1520	1570
640	890
650	1840
60	1646
20	40
110	570
640	470
940	1580
400	490
1030	1040
1030	380
1410	1600
1850	470
1160	1900
1350	170
960	310
940	1380
650	1010
1210	570
1000	1130
1300	890
1150	1550
300	560
320	440
1470	2000
1650	260
460	1570
130	1460
1210	270
910	1100
1990	60
1390	1360
1790	610
880	1230
510	540
550	250
970	340
1330	200
1220	1600
1820	600
150	500
1240	1590
1360	750
80	410
900	1860
840	1910
960	440
360	1110
150	60
1760	1280
1110	1580
500	920
860	30
890	390
1250	1880
1350	1320
2000	840
370	400
780	200
1390	1050
120	70
490	600
240	330
900	70
560	810
1370	1840
1090	650
940	1000
1730	880
1440	1860
1530	1700
660	1770
1170	980
1200	170
1500	1750
1330	1530
1190	1890
1020	1670
1780	1610
1080	1430
620	790
1300	1380
1190	1010
1280	800
620	1940
1400	650
1440	1030
750	1440
510	470
610	1930
620	500
1100	610
950	1350
1270	1260
650	1210
1780	1950
1950	930
1100	570
990	160
1030	250
220	1040
670	1550
1690	1370
140	420
1960	970
1470	370
1890	1850
1060	1630
270	1060
1420	1540
1910	1460
790	470
